"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006091","generation of precursor metabolites and energy",122,-0.625167801603592,-2.19527540547584,2.94698653134658e-10,5.56096358465099e-07,5.12465447345742e-07,3148,"tags=52%, list=21%, signal=42%","NDUFB6/GAPDH/SDHC/COQ10B/NDUFV1/NDUFB9/ETFDH/COQ10A/NDUFS2/SDHD/NDUFV3/SDHB/SUCLG1/NDUFS1/COX7B/LOC100226456/MTFR1/G6PD/MTFR1L/IREB2/NDUFS8/NDUFB3/NDUFB8/NDUFA10/PGAM1/ANTKMT/TPI1/RPIA/SUCLG2/NDUFA5/ATP5PO/NDUFC2/NDUFA8/COX7C/NDUFS7/COX7A2/COX7A2L/NDUFV2/INPP5K/IDH3B/TALDO1/ENO1/MDH1/PHKA2/MDH2/ACLY/PGD/GPI/PFKL/OGDH/DLST/PYGB/NDUFAF1/ATP5F1B/FDX1/PHKG1/ACO2/TKT/CYCS/IDH3A/PKM/PGK1/ALDOC/CS"
"GO:0045333","cellular respiration",64,-0.685030950396767,-2.18684017699266,6.06553177160606e-08,5.72282922651032e-05,5.27382025615432e-05,3148,"tags=66%, list=21%, signal=52%","NDUFB6/SDHC/COQ10B/NDUFV1/NDUFB9/COQ10A/NDUFS2/SDHD/NDUFV3/SDHB/SUCLG1/NDUFS1/COX7B/MTFR1/MTFR1L/IREB2/NDUFS8/NDUFB8/NDUFA10/ANTKMT/SUCLG2/NDUFA5/ATP5PO/NDUFC2/NDUFA8/COX7C/NDUFS7/COX7A2/COX7A2L/NDUFV2/IDH3B/MDH1/MDH2/ACLY/OGDH/DLST/NDUFAF1/ATP5F1B/ACO2/CYCS/IDH3A/CS"
"GO:0034976","response to endoplasmic reticulum stress",48,0.711189522382502,2.21346924295331,2.60683369905022e-07,0.000125751040342093,0.000115884706242232,844,"tags=25%, list=6%, signal=24%","EIF2AK3/ATF6/HSPA5/MAN1C1/HERPUD1/TMTC4/SELENOS/MAN1A1/DERL3/PDIA4/SEL1L/ERLEC1"
"GO:0009060","aerobic respiration",59,-0.682435558078248,-2.16286871226696,2.6656288360804e-07,0.000125751040342093,0.000115884706242232,3148,"tags=76%, list=21%, signal=61%","COX6A1/IDH3G/UQCR11/ATP5MF/NDUFS6/UQCR10/NDUFB6/SDHC/NDUFV1/NDUFB9/NDUFS2/SDHD/NDUFV3/SDHB/SUCLG1/NDUFS1/COX7B/MTFR1/MTFR1L/IREB2/NDUFS8/NDUFB8/NDUFA10/ANTKMT/SUCLG2/ATP5PO/NDUFC2/NDUFA8/COX7C/NDUFS7/COX7A2/COX7A2L/NDUFV2/IDH3B/MDH1/MDH2/ACLY/OGDH/DLST/NDUFAF1/ATP5F1B/ACO2/CYCS/IDH3A/CS"
"GO:0015980","energy derivation by oxidation of organic compounds",88,-0.607035291150314,-2.02510974562188,6.2046256283725e-07,0.000234162571214778,0.000215790348169924,3033,"tags=52%, list=20%, signal=42%","NDUFB6/SDHC/COQ10B/NDUFV1/NDUFB9/COQ10A/NDUFS2/SDHD/NDUFV3/SDHB/SUCLG1/NDUFS1/COX7B/MTFR1/MTFR1L/IREB2/NDUFS8/NDUFB8/NDUFA10/ANTKMT/SUCLG2/NDUFA5/ATP5PO/NDUFC2/NDUFA8/COX7C/NDUFS7/COX7A2/COX7A2L/NDUFV2/INPP5K/IDH3B/MDH1/PHKA2/MDH2/ACLY/OGDH/DLST/PYGB/NDUFAF1/ATP5F1B/PHKG1/ACO2/CYCS/IDH3A/CS"
"GO:0055086","nucleobase-containing small molecule metabolic process",235,-0.456163062412216,-1.72693573228305,2.28483936510426e-06,0.00071858198032529,0.000662202566868813,3204,"tags=35%, list=21%, signal=28%","PDHX/SHMT1/NME2/GNMT/GAPDH/FHIT/ASPDH/PNP/ATP5F1A/ADSL/LOC100227890/LOC115495423/LOC100219837/RFK/MVK/ATP6V1A/GFPT2/HMGCR/AK2/DPYS/HAAO/ACSL3/NT5M/LOC100226456/ATP5PB/IDH2/ACSS1/CMPK1/G6PD/PRPS1/LOC101233080/CAD/PPCS/ACSL5/PGAM1/ANTKMT/NPR1/TPI1/RPIA/ATP5PF/SUCLG2/ATP5PO/ATP5MC3/ADCY5/ATP5F1C/GFUS/GMDS/AMPD2/PDHA1/TALDO1/ENO1/MDH1/ADA/ACLY/TK1/PGD/GUCY2C/GPI/PFKL/PDE2A/PANK3/UMPS/ATP5PD/LOC100219367/ACSS2/PGM2/ATP5F1B/ATP5MC1/IDH1/GMPR/ENTPD7/DLAT/CTPS1/TKT/MVD/ACOT8/FLAD1/PKM/PGK1/SAMHD1/UAP1L1/ALDOC/AK1"
"GO:0006753","nucleoside phosphate metabolic process",214,-0.472014343364033,-1.76543602879981,5.26913331511813e-06,0.0014204077950897,0.00130896364459777,3204,"tags=36%, list=21%, signal=29%","PDHX/NME2/GAPDH/FHIT/ASPDH/ATP5F1A/ADSL/LOC100227890/LOC115495423/LOC100219837/RFK/MVK/ATP6V1A/GFPT2/HMGCR/AK2/HAAO/ACSL3/NT5M/LOC100226456/ATP5PB/IDH2/ACSS1/CMPK1/G6PD/PRPS1/LOC101233080/CAD/PPCS/ACSL5/PGAM1/ANTKMT/NPR1/TPI1/RPIA/ATP5PF/SUCLG2/ATP5PO/ATP5MC3/ADCY5/ATP5F1C/GFUS/GMDS/AMPD2/PDHA1/TALDO1/ENO1/MDH1/ADA/ACLY/PGD/GUCY2C/GPI/PFKL/PDE2A/PANK3/UMPS/ATP5PD/LOC100219367/ACSS2/ATP5F1B/ATP5MC1/IDH1/GMPR/ENTPD7/DLAT/CTPS1/TKT/MVD/ACOT8/FLAD1/PKM/PGK1/SAMHD1/UAP1L1/ALDOC/AK1"
"GO:0019637","organophosphate metabolic process",423,-0.393807703718983,-1.57388466416879,9.77093211237752e-06,0.00230471861200705,0.00212389208547995,2797,"tags=29%, list=18%, signal=24%","PIP4K2B/LOC100219837/RFK/MVK/PI4K2B/MTMR2/PLCG1/ATP6V1A/MTM1/GFPT2/PI4KB/HMGCR/AK2/HAAO/ACSL3/PGAP2/PTDSS2/NT5M/SMPD1/LOC100226456/PIK3CG/ATP5PB/PPIP5K2/PLPP1/IDH2/ACSS1/CMPK1/MOCS1/G6PD/PRPS1/LOC101233080/ISYNA1/PTEN/TTC7B/CAD/PPCS/ACSL5/INPP5D/GPAM/PISD/IDI1/PGAM1/FDFT1/ANTKMT/NPR1/DPM1/TPI1/RPIA/ATP5PF/LOC115492365/SUCLG2/ATP5PO/ATP5MC3/PCYT1B/G6PC1/ADCY5/ATP5F1C/PLAAT1/BPNT2/GFUS/INPPL1/GMDS/LOC100226902/INPP5K/LOC100219012/PLA2G4A/AMPD2/PDHA1/TALDO1/ENO1/PCYT2/MDH1/GDPD1/ADA/ACP6/PFKFB3/ACLY/PGD/GUCY2C/PIK3C2B/GPI/PFKL/PDE2A/PANK3/IPPK/SACM1L/UMPS/ATP5PD/LOC100219367/ACSS2/ABHD12/PIP4P2/BPNT1/ATP5F1B/CKB/SMPDL3A/ENPP2/ATP5MC1/IDH1/GMPR/PIK3R2/ENTPD7/LPCAT3/CETP/VAC14/DLAT/CTPS1/SOCS4/TKT/GPD2/MVD/ACOT8/FLAD1/PKM/PGK1/SAMHD1/UAP1L1/MTMR9/AGPAT2/ALDOC/AK1"
"GO:0009141","nucleoside triphosphate metabolic process",56,-0.62336940090128,-1.95697263073385,1.36573576582299e-05,0.00286349265567553,0.00263882512881822,2343,"tags=39%, list=15%, signal=33%","LOC100226456/ATP5PB/CAD/PGAM1/ANTKMT/TPI1/ATP5PF/ATP5PO/ATP5MC3/ATP5F1C/ENO1/GPI/PFKL/ATP5PD/ATP5F1B/ATP5MC1/CTPS1/PKM/PGK1/SAMHD1/ALDOC/AK1"
"GO:0072521","purine-containing compound metabolic process",182,-0.479143125707246,-1.75487246659689,1.61002469264882e-05,0.00303811659502832,0.00279974820237458,3204,"tags=37%, list=21%, signal=29%","PDHX/SHMT1/NME2/GNMT/GAPDH/FHIT/ASPDH/ATP5F1A/ADSL/LOC100227890/LOC115495423/LOC100219837/MVK/ATP6V1A/HMGCR/AK2/HAAO/ACSL3/LOC100226456/ATP5PB/IDH2/ACSS1/G6PD/PRPS1/LOC101233080/PPCS/ACSL5/PGAM1/ANTKMT/NPR1/TPI1/RPIA/ATP5PF/SUCLG2/ATP5PO/ATP5MC3/ADCY5/ATP5F1C/AMPD2/PDHA1/TALDO1/ENO1/MDH1/ADA/ACLY/PGD/GUCY2C/GPI/PFKL/PDE2A/PANK3/ATP5PD/LOC100219367/ACSS2/PGM2/ATP5F1B/ATP5MC1/IDH1/DLAT/TKT/MVD/ACOT8/PKM/PGK1/SAMHD1/ALDOC/AK1"
